starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 06 16:03:43 2024	1733529823	0	1514	1514	11
Fri Dec 06 16:03:38 2024	1733529818	0	1516	1516	13
Fri Dec 06 16:03:44 2024	1733529824	0	1517	1517	15
Fri Dec 06 16:03:46 2024	1733529826	0	1517	1518	15
Fri Dec 06 16:03:35 2024	1733529815	0	1518	1518	12
Fri Dec 06 16:03:40 2024	1733529820	0	1519	1519	15
Fri Dec 06 16:03:37 2024	1733529817	0	1524	1524	21
Fri Dec 06 16:03:47 2024	1733529827	0	1525	1525	18
Fri Dec 06 16:03:41 2024	1733529821	0	1536	1536	10
Fri Dec 06 16:03:34 2024	1733529814	0	1562	1563	61
